 INFO  Accepting connections at http://localhost:3000
 HTTP  5/25/2026 8:07:58 AM ::1 GET /
 HTTP  5/25/2026 8:07:58 AM ::1 Returned 200 in 22 ms
 HTTP  5/25/2026 8:07:59 AM ::1 GET /_expo/static/js/web/index-6a6a975cad2e187b932d3f412feea047.js
 HTTP  5/25/2026 8:07:59 AM ::1 Returned 200 in 6 ms
 HTTP  5/25/2026 8:07:59 AM ::1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  5/25/2026 8:07:59 AM ::1 Returned 200 in 8 ms
 HTTP  5/25/2026 8:09:08 AM ::1 GET /
 HTTP  5/25/2026 8:09:08 AM ::1 Returned 200 in 2 ms
 HTTP  5/25/2026 8:09:09 AM ::1 GET /_expo/static/js/web/index-6a6a975cad2e187b932d3f412feea047.js
 HTTP  5/25/2026 8:09:09 AM ::1 Returned 200 in 2 ms
 HTTP  5/25/2026 8:09:09 AM ::1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  5/25/2026 8:09:09 AM ::1 Returned 200 in 2 ms
 HTTP  5/25/2026 8:10:18 AM ::1 GET /
 HTTP  5/25/2026 8:10:18 AM ::1 Returned 200 in 2 ms
 HTTP  5/25/2026 8:10:18 AM ::1 GET /_expo/static/js/web/index-6a6a975cad2e187b932d3f412feea047.js
 HTTP  5/25/2026 8:10:18 AM ::1 Returned 200 in 1 ms
 HTTP  5/25/2026 8:10:18 AM ::1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  5/25/2026 8:10:18 AM ::1 Returned 200 in 2 ms
